"program","stage","input_size","duration"
"004-bin-nat","compilation",NA,2.217295
"004-bin-nat","compilation",NA,2.167033
"004-bin-nat","compilation",NA,2.167156
"004-bin-nat","compilation",NA,2.167062
"004-bin-nat","compilation",NA,2.167069
"004-bin-nat","compilation",NA,2.217294
"004-bin-nat","compilation",NA,2.167131
"004-bin-nat","compilation",NA,2.217236
"004-bin-nat","compilation",NA,2.267500
"004-bin-nat","compilation",NA,2.167001
"004-bin-nat","runtime",1.000000,0.113699
"004-bin-nat","runtime",1.000000,0.113648
"004-bin-nat","runtime",1.000000,0.163933
"004-bin-nat","runtime",1.000000,0.163938
"004-bin-nat","runtime",1.000000,0.113701
"004-bin-nat","runtime",1.000000,0.113651
"004-bin-nat","runtime",1.000000,0.163964
"004-bin-nat","runtime",1.000000,0.163950
"004-bin-nat","runtime",1.000000,0.113683
"004-bin-nat","runtime",1.000000,0.113691
"004-bin-nat","runtime",9.000000,0.263943
"004-bin-nat","runtime",9.000000,0.364285
"004-bin-nat","runtime",9.000000,0.364364
"004-bin-nat","runtime",9.000000,0.364220
"004-bin-nat","runtime",9.000000,0.314039
"004-bin-nat","runtime",9.000000,0.314045
"004-bin-nat","runtime",9.000000,0.314088
"004-bin-nat","runtime",9.000000,0.364331
"004-bin-nat","runtime",9.000000,0.314090
"004-bin-nat","runtime",9.000000,0.314081
"004-bin-nat","runtime",18.000000,0.464322
"004-bin-nat","runtime",18.000000,0.514461
"004-bin-nat","runtime",18.000000,0.514514
"004-bin-nat","runtime",18.000000,0.514555
"004-bin-nat","runtime",18.000000,0.464355
"004-bin-nat","runtime",18.000000,0.514602
"004-bin-nat","runtime",18.000000,0.514533
"004-bin-nat","runtime",18.000000,0.514622
"004-bin-nat","runtime",18.000000,0.464394
"004-bin-nat","runtime",18.000000,0.564683
"004-bin-nat","runtime",26.000000,0.564469
"004-bin-nat","runtime",26.000000,0.564392
"004-bin-nat","runtime",26.000000,0.664795
"004-bin-nat","runtime",26.000000,0.614602
"004-bin-nat","runtime",26.000000,0.664815
"004-bin-nat","runtime",26.000000,0.664567
"004-bin-nat","runtime",26.000000,0.614534
"004-bin-nat","runtime",26.000000,0.664808
"004-bin-nat","runtime",26.000000,0.614592
"004-bin-nat","runtime",26.000000,0.664882
"004-bin-nat","runtime",35.000000,0.814914
"004-bin-nat","runtime",35.000000,0.764819
"004-bin-nat","runtime",35.000000,0.815152
"004-bin-nat","runtime",35.000000,0.714698
"004-bin-nat","runtime",35.000000,0.764762
"004-bin-nat","runtime",35.000000,0.764857
"004-bin-nat","runtime",35.000000,0.714723
"004-bin-nat","runtime",35.000000,0.814912
"004-bin-nat","runtime",35.000000,0.764904
"004-bin-nat","runtime",35.000000,0.764807
"004-bin-nat","runtime",43.000000,0.965288
"004-bin-nat","runtime",43.000000,1.015493
"004-bin-nat","runtime",43.000000,1.015454
"004-bin-nat","runtime",43.000000,1.015465
"004-bin-nat","runtime",43.000000,1.015551
"004-bin-nat","runtime",43.000000,0.915033
"004-bin-nat","runtime",43.000000,1.015345
"004-bin-nat","runtime",43.000000,0.915107
"004-bin-nat","runtime",43.000000,1.015534
"004-bin-nat","runtime",43.000000,0.965253
"004-bin-nat","runtime",52.000000,1.165675
"004-bin-nat","runtime",52.000000,1.165540
"004-bin-nat","runtime",52.000000,1.115466
"004-bin-nat","runtime",52.000000,1.065275
"004-bin-nat","runtime",52.000000,1.215634
"004-bin-nat","runtime",52.000000,1.065296
"004-bin-nat","runtime",52.000000,1.165684
"004-bin-nat","runtime",52.000000,1.165535
"004-bin-nat","runtime",52.000000,1.165764
"004-bin-nat","runtime",52.000000,1.065386
"004-bin-nat","runtime",60.000000,1.215577
"004-bin-nat","runtime",60.000000,1.265653
"004-bin-nat","runtime",60.000000,1.215628
"004-bin-nat","runtime",60.000000,1.265676
"004-bin-nat","runtime",60.000000,1.315925
"004-bin-nat","runtime",60.000000,1.265704
"004-bin-nat","runtime",60.000000,1.315840
"004-bin-nat","runtime",60.000000,1.315793
"004-bin-nat","runtime",60.000000,1.315896
"004-bin-nat","runtime",60.000000,1.265702
"004-bin-nat","runtime",69.000000,1.516302
"004-bin-nat","runtime",69.000000,1.516202
"004-bin-nat","runtime",69.000000,1.516349
"004-bin-nat","runtime",69.000000,1.466135
"004-bin-nat","runtime",69.000000,1.566386
"004-bin-nat","runtime",69.000000,1.466034
"004-bin-nat","runtime",69.000000,1.566384
"004-bin-nat","runtime",69.000000,1.415871
"004-bin-nat","runtime",69.000000,1.466181
"004-bin-nat","runtime",69.000000,1.415910
"004-bin-nat","runtime",77.000000,1.566258
"004-bin-nat","runtime",77.000000,1.516065
"004-bin-nat","runtime",77.000000,1.516145
"004-bin-nat","runtime",77.000000,1.566157
"004-bin-nat","runtime",77.000000,1.566118
"004-bin-nat","runtime",77.000000,1.566245
"004-bin-nat","runtime",77.000000,1.566209
"004-bin-nat","runtime",77.000000,1.566168
"004-bin-nat","runtime",77.000000,1.566228
"004-bin-nat","runtime",77.000000,1.516064
"004-bin-nat","runtime",86.000000,1.716400
"004-bin-nat","runtime",86.000000,1.766531
"004-bin-nat","runtime",86.000000,1.766793
"004-bin-nat","runtime",86.000000,1.766656
"004-bin-nat","runtime",86.000000,1.766556
"004-bin-nat","runtime",86.000000,1.766689
"004-bin-nat","runtime",86.000000,1.816877
"004-bin-nat","runtime",86.000000,1.816958
"004-bin-nat","runtime",86.000000,1.816886
"004-bin-nat","runtime",86.000000,1.866937
"004-bin-nat","runtime",94.000000,1.967239
"004-bin-nat","runtime",94.000000,1.916931
"004-bin-nat","runtime",94.000000,1.866790
"004-bin-nat","runtime",94.000000,1.916869
"004-bin-nat","runtime",94.000000,2.016909
"004-bin-nat","runtime",94.000000,1.966800
"004-bin-nat","runtime",94.000000,1.916884
"004-bin-nat","runtime",94.000000,1.916867
"004-bin-nat","runtime",94.000000,1.916842
"004-bin-nat","runtime",94.000000,1.866572
"004-bin-nat","runtime",103.000000,2.066871
"004-bin-nat","runtime",103.000000,2.066991
"004-bin-nat","runtime",103.000000,2.117080
"004-bin-nat","runtime",103.000000,2.167530
"004-bin-nat","runtime",103.000000,2.117394
"004-bin-nat","runtime",103.000000,2.117187
"004-bin-nat","runtime",103.000000,2.067095
"004-bin-nat","runtime",103.000000,2.117332
"004-bin-nat","runtime",103.000000,2.167527
"004-bin-nat","runtime",103.000000,2.067063
"004-bin-nat","runtime",111.000000,2.217366
"004-bin-nat","runtime",111.000000,2.417705
"004-bin-nat","runtime",111.000000,2.367766
"004-bin-nat","runtime",111.000000,2.317874
"004-bin-nat","runtime",111.000000,2.217438
"004-bin-nat","runtime",111.000000,2.217365
"004-bin-nat","runtime",111.000000,2.317774
"004-bin-nat","runtime",111.000000,2.317654
"004-bin-nat","runtime",111.000000,2.267628
"004-bin-nat","runtime",111.000000,2.267923
"004-bin-nat","runtime",120.000000,2.417684
"004-bin-nat","runtime",120.000000,2.417791
"004-bin-nat","runtime",120.000000,2.518142
"004-bin-nat","runtime",120.000000,2.417748
"004-bin-nat","runtime",120.000000,2.467826
"004-bin-nat","runtime",120.000000,2.468080
"004-bin-nat","runtime",120.000000,2.417787
"004-bin-nat","runtime",120.000000,2.417774
"004-bin-nat","runtime",120.000000,2.417792
"004-bin-nat","runtime",120.000000,2.517906
"004-bin-nat","runtime",128.000000,2.517838
"004-bin-nat","runtime",128.000000,2.618009
"004-bin-nat","runtime",128.000000,2.668020
"004-bin-nat","runtime",128.000000,2.567976
"004-bin-nat","runtime",128.000000,2.517885
"004-bin-nat","runtime",128.000000,2.517932
"004-bin-nat","runtime",128.000000,2.568082
"004-bin-nat","runtime",128.000000,2.568020
"004-bin-nat","runtime",128.000000,2.668263
"004-bin-nat","runtime",128.000000,2.668075
