"program","stage","input_size","duration"
"004-bin-nat","compilation",NA,2.267510
"004-bin-nat","compilation",NA,2.167170
"004-bin-nat","compilation",NA,2.167146
"004-bin-nat","compilation",NA,2.217123
"004-bin-nat","compilation",NA,2.167043
"004-bin-nat","compilation",NA,2.217247
"004-bin-nat","compilation",NA,2.267679
"004-bin-nat","compilation",NA,2.217148
"004-bin-nat","compilation",NA,2.167186
"004-bin-nat","compilation",NA,2.217215
"004-bin-nat","runtime",1.000000,0.113678
"004-bin-nat","runtime",1.000000,0.163872
"004-bin-nat","runtime",1.000000,0.163924
"004-bin-nat","runtime",1.000000,0.164006
"004-bin-nat","runtime",1.000000,0.113711
"004-bin-nat","runtime",1.000000,0.164005
"004-bin-nat","runtime",1.000000,0.113610
"004-bin-nat","runtime",1.000000,0.163910
"004-bin-nat","runtime",1.000000,0.163953
"004-bin-nat","runtime",1.000000,0.163948
"004-bin-nat","runtime",2.000000,0.163756
"004-bin-nat","runtime",2.000000,0.214115
"004-bin-nat","runtime",2.000000,0.214059
"004-bin-nat","runtime",2.000000,0.163931
"004-bin-nat","runtime",2.000000,0.113638
"004-bin-nat","runtime",2.000000,0.113574
"004-bin-nat","runtime",2.000000,0.113617
"004-bin-nat","runtime",2.000000,0.113599
"004-bin-nat","runtime",2.000000,0.113659
"004-bin-nat","runtime",2.000000,0.113639
"004-bin-nat","runtime",3.000000,0.113600
"004-bin-nat","runtime",3.000000,0.113655
"004-bin-nat","runtime",3.000000,0.113618
"004-bin-nat","runtime",3.000000,0.163740
"004-bin-nat","runtime",3.000000,0.214039
"004-bin-nat","runtime",3.000000,0.163762
"004-bin-nat","runtime",3.000000,0.163783
"004-bin-nat","runtime",3.000000,0.163843
"004-bin-nat","runtime",3.000000,0.113609
"004-bin-nat","runtime",3.000000,0.163711
"004-bin-nat","runtime",4.000000,0.163785
"004-bin-nat","runtime",4.000000,0.163767
"004-bin-nat","runtime",4.000000,0.264075
"004-bin-nat","runtime",4.000000,0.163920
"004-bin-nat","runtime",4.000000,0.214044
"004-bin-nat","runtime",4.000000,0.163721
"004-bin-nat","runtime",4.000000,0.163734
"004-bin-nat","runtime",4.000000,0.264160
"004-bin-nat","runtime",4.000000,0.213944
"004-bin-nat","runtime",4.000000,0.213856
"004-bin-nat","runtime",5.000000,0.264065
"004-bin-nat","runtime",5.000000,0.264080
"004-bin-nat","runtime",5.000000,0.264108
"004-bin-nat","runtime",5.000000,0.163744
"004-bin-nat","runtime",5.000000,0.163684
"004-bin-nat","runtime",5.000000,0.264092
"004-bin-nat","runtime",5.000000,0.163733
"004-bin-nat","runtime",5.000000,0.213820
"004-bin-nat","runtime",5.000000,0.213831
"004-bin-nat","runtime",5.000000,0.264158
"004-bin-nat","runtime",6.000000,0.213808
"004-bin-nat","runtime",6.000000,0.314251
"004-bin-nat","runtime",6.000000,0.213835
"004-bin-nat","runtime",6.000000,0.264061
"004-bin-nat","runtime",6.000000,0.213797
"004-bin-nat","runtime",6.000000,0.264161
"004-bin-nat","runtime",6.000000,0.163688
"004-bin-nat","runtime",6.000000,0.163667
"004-bin-nat","runtime",6.000000,0.163705
"004-bin-nat","runtime",6.000000,0.163707
"004-bin-nat","runtime",7.000000,0.213850
"004-bin-nat","runtime",7.000000,0.264023
"004-bin-nat","runtime",7.000000,0.263997
"004-bin-nat","runtime",7.000000,0.263959
"004-bin-nat","runtime",7.000000,0.314242
"004-bin-nat","runtime",7.000000,0.263986
"004-bin-nat","runtime",7.000000,0.213880
"004-bin-nat","runtime",7.000000,0.213807
"004-bin-nat","runtime",7.000000,0.314171
"004-bin-nat","runtime",7.000000,0.213870
"004-bin-nat","runtime",8.000000,0.213836
"004-bin-nat","runtime",8.000000,0.213726
"004-bin-nat","runtime",8.000000,0.263922
"004-bin-nat","runtime",8.000000,0.314134
"004-bin-nat","runtime",8.000000,0.314179
"004-bin-nat","runtime",8.000000,0.263983
"004-bin-nat","runtime",8.000000,0.263998
"004-bin-nat","runtime",8.000000,0.263979
"004-bin-nat","runtime",8.000000,0.213848
"004-bin-nat","runtime",8.000000,0.213821
"004-bin-nat","runtime",9.000000,0.263929
"004-bin-nat","runtime",9.000000,0.364272
"004-bin-nat","runtime",9.000000,0.364350
"004-bin-nat","runtime",9.000000,0.314157
"004-bin-nat","runtime",9.000000,0.364320
"004-bin-nat","runtime",9.000000,0.364283
"004-bin-nat","runtime",9.000000,0.314097
"004-bin-nat","runtime",9.000000,0.364349
"004-bin-nat","runtime",9.000000,0.364369
"004-bin-nat","runtime",9.000000,0.364331
"004-bin-nat","runtime",10.000000,0.364267
"004-bin-nat","runtime",10.000000,0.364228
"004-bin-nat","runtime",10.000000,0.314067
"004-bin-nat","runtime",10.000000,0.263920
"004-bin-nat","runtime",10.000000,0.263949
"004-bin-nat","runtime",10.000000,0.263924
"004-bin-nat","runtime",10.000000,0.263900
"004-bin-nat","runtime",10.000000,0.364269
"004-bin-nat","runtime",10.000000,0.314102
"004-bin-nat","runtime",10.000000,0.364191
"004-bin-nat","runtime",11.000000,0.364242
"004-bin-nat","runtime",11.000000,0.314025
"004-bin-nat","runtime",11.000000,0.313984
"004-bin-nat","runtime",11.000000,0.364277
"004-bin-nat","runtime",11.000000,0.263889
"004-bin-nat","runtime",11.000000,0.364240
"004-bin-nat","runtime",11.000000,0.263892
"004-bin-nat","runtime",11.000000,0.314035
"004-bin-nat","runtime",11.000000,0.364359
"004-bin-nat","runtime",11.000000,0.263872
"004-bin-nat","runtime",12.000000,0.314003
"004-bin-nat","runtime",12.000000,0.364187
"004-bin-nat","runtime",12.000000,0.414516
"004-bin-nat","runtime",12.000000,0.414456
"004-bin-nat","runtime",12.000000,0.364211
"004-bin-nat","runtime",12.000000,0.314036
"004-bin-nat","runtime",12.000000,0.414341
"004-bin-nat","runtime",12.000000,0.414367
"004-bin-nat","runtime",12.000000,0.414398
"004-bin-nat","runtime",12.000000,0.414357
