"program","stage","input_size","duration"
"004-bin-nat","compilation",NA,2.467755
"004-bin-nat","compilation",NA,2.367458
"004-bin-nat","compilation",NA,2.467809
"004-bin-nat","compilation",NA,2.367416
"004-bin-nat","compilation",NA,2.467785
"004-bin-nat","compilation",NA,2.417611
"004-bin-nat","compilation",NA,2.367369
"004-bin-nat","compilation",NA,2.367617
"004-bin-nat","compilation",NA,2.417529
"004-bin-nat","compilation",NA,2.367462
"004-bin-nat","runtime",1.000000,0.163697
"004-bin-nat","runtime",1.000000,0.163709
"004-bin-nat","runtime",1.000000,0.213857
"004-bin-nat","runtime",1.000000,0.264161
"004-bin-nat","runtime",1.000000,0.163721
"004-bin-nat","runtime",1.000000,0.163731
"004-bin-nat","runtime",1.000000,0.163700
"004-bin-nat","runtime",1.000000,0.213831
"004-bin-nat","runtime",1.000000,0.264074
"004-bin-nat","runtime",1.000000,0.213844
"004-bin-nat","runtime",2.000000,0.364285
"004-bin-nat","runtime",2.000000,0.364219
"004-bin-nat","runtime",2.000000,0.364168
"004-bin-nat","runtime",2.000000,0.364252
"004-bin-nat","runtime",2.000000,0.314038
"004-bin-nat","runtime",2.000000,0.364289
"004-bin-nat","runtime",2.000000,0.263880
"004-bin-nat","runtime",2.000000,0.263929
"004-bin-nat","runtime",2.000000,0.263919
"004-bin-nat","runtime",2.000000,0.263939
"004-bin-nat","runtime",3.000000,0.364021
"004-bin-nat","runtime",3.000000,0.364152
"004-bin-nat","runtime",3.000000,0.364091
"004-bin-nat","runtime",3.000000,0.414181
"004-bin-nat","runtime",3.000000,0.414195
"004-bin-nat","runtime",3.000000,0.364059
"004-bin-nat","runtime",3.000000,0.364115
"004-bin-nat","runtime",3.000000,0.414282
"004-bin-nat","runtime",3.000000,0.364082
"004-bin-nat","runtime",3.000000,0.414236
"004-bin-nat","runtime",4.000000,0.614624
"004-bin-nat","runtime",4.000000,0.614863
"004-bin-nat","runtime",4.000000,0.514371
"004-bin-nat","runtime",4.000000,0.514339
"004-bin-nat","runtime",4.000000,0.514338
"004-bin-nat","runtime",4.000000,0.514341
"004-bin-nat","runtime",4.000000,0.514338
"004-bin-nat","runtime",4.000000,0.514369
"004-bin-nat","runtime",4.000000,0.564444
"004-bin-nat","runtime",4.000000,0.614731
"004-bin-nat","runtime",5.000000,0.814904
"004-bin-nat","runtime",5.000000,0.815000
"004-bin-nat","runtime",5.000000,0.764770
"004-bin-nat","runtime",5.000000,0.764824
"004-bin-nat","runtime",5.000000,0.764775
"004-bin-nat","runtime",5.000000,0.764860
"004-bin-nat","runtime",5.000000,0.764804
"004-bin-nat","runtime",5.000000,0.764842
"004-bin-nat","runtime",5.000000,0.764826
"004-bin-nat","runtime",5.000000,0.814897
"004-bin-nat","runtime",6.000000,1.366047
"004-bin-nat","runtime",6.000000,1.366101
"004-bin-nat","runtime",6.000000,1.366199
"004-bin-nat","runtime",6.000000,1.366167
"004-bin-nat","runtime",6.000000,1.366110
"004-bin-nat","runtime",6.000000,1.265793
"004-bin-nat","runtime",6.000000,1.316091
"004-bin-nat","runtime",6.000000,1.215577
"004-bin-nat","runtime",6.000000,1.265723
"004-bin-nat","runtime",6.000000,1.315936
"004-bin-nat","runtime",7.000000,2.167538
"004-bin-nat","runtime",7.000000,2.167488
"004-bin-nat","runtime",7.000000,2.117354
"004-bin-nat","runtime",7.000000,2.117375
"004-bin-nat","runtime",7.000000,2.217734
"004-bin-nat","runtime",7.000000,2.117251
"004-bin-nat","runtime",7.000000,2.117316
"004-bin-nat","runtime",7.000000,2.167421
"004-bin-nat","runtime",7.000000,2.217640
"004-bin-nat","runtime",7.000000,2.117266
"004-bin-nat","runtime",8.000000,3.920594
"004-bin-nat","runtime",8.000000,4.020903
"004-bin-nat","runtime",8.000000,4.071144
"004-bin-nat","runtime",8.000000,4.071144
"004-bin-nat","runtime",8.000000,4.020918
"004-bin-nat","runtime",8.000000,3.920738
"004-bin-nat","runtime",8.000000,4.021004
"004-bin-nat","runtime",8.000000,3.920655
"004-bin-nat","runtime",8.000000,4.020806
"004-bin-nat","runtime",8.000000,3.970778
"004-bin-nat","runtime",9.000000,7.777931
"004-bin-nat","runtime",9.000000,7.627842
"004-bin-nat","runtime",9.000000,7.727576
"004-bin-nat","runtime",9.000000,7.677896
"004-bin-nat","runtime",9.000000,7.627375
"004-bin-nat","runtime",9.000000,7.577614
"004-bin-nat","runtime",9.000000,7.677656
"004-bin-nat","runtime",9.000000,7.627424
"004-bin-nat","runtime",9.000000,7.627576
"004-bin-nat","runtime",9.000000,7.677519
"004-bin-nat","runtime",10.000000,15.291532
"004-bin-nat","runtime",10.000000,15.241883
"004-bin-nat","runtime",10.000000,15.141551
"004-bin-nat","runtime",10.000000,15.241437
"004-bin-nat","runtime",10.000000,15.291528
"004-bin-nat","runtime",10.000000,15.241423
"004-bin-nat","runtime",10.000000,15.241426
"004-bin-nat","runtime",10.000000,15.241513
"004-bin-nat","runtime",10.000000,15.491041
"004-bin-nat","runtime",10.000000,15.239750
"004-bin-nat","runtime",11.000000,30.768523
"004-bin-nat","runtime",11.000000,30.919063
"004-bin-nat","runtime",11.000000,30.668354
"004-bin-nat","runtime",11.000000,30.668224
"004-bin-nat","runtime",11.000000,30.719785
"004-bin-nat","runtime",11.000000,30.770102
"004-bin-nat","runtime",11.000000,30.869292
"004-bin-nat","runtime",11.000000,30.619729
"004-bin-nat","runtime",11.000000,30.620402
"004-bin-nat","runtime",11.000000,30.619919
