"program","stage","input_size","duration"
"001-shl-bin","compilation",NA,0.814787
"001-shl-bin","compilation",NA,0.914977
"001-shl-bin","compilation",NA,0.814778
"001-shl-bin","compilation",NA,0.814749
"001-shl-bin","compilation",NA,0.814770
"001-shl-bin","compilation",NA,0.814827
"001-shl-bin","compilation",NA,0.814715
"001-shl-bin","compilation",NA,0.814790
"001-shl-bin","compilation",NA,0.814792
"001-shl-bin","compilation",NA,0.814783
"001-shl-bin","runtime",1.000000,0.001122
"001-shl-bin","runtime",1.000000,0.001114
"001-shl-bin","runtime",1.000000,0.001111
"001-shl-bin","runtime",1.000000,0.001111
"001-shl-bin","runtime",1.000000,0.001076
"001-shl-bin","runtime",1.000000,0.001118
"001-shl-bin","runtime",1.000000,0.001107
"001-shl-bin","runtime",1.000000,0.001101
"001-shl-bin","runtime",1.000000,0.001106
"001-shl-bin","runtime",1.000000,0.001080
"001-shl-bin","runtime",4229.000000,0.007243
"001-shl-bin","runtime",4229.000000,0.007258
"001-shl-bin","runtime",4229.000000,0.007232
"001-shl-bin","runtime",4229.000000,0.007283
"001-shl-bin","runtime",4229.000000,0.007261
"001-shl-bin","runtime",4229.000000,0.007265
"001-shl-bin","runtime",4229.000000,0.007260
"001-shl-bin","runtime",4229.000000,0.007273
"001-shl-bin","runtime",4229.000000,0.007271
"001-shl-bin","runtime",4229.000000,0.007247
"001-shl-bin","runtime",8457.000000,0.015343
"001-shl-bin","runtime",8457.000000,0.015313
"001-shl-bin","runtime",8457.000000,0.015357
"001-shl-bin","runtime",8457.000000,0.015356
"001-shl-bin","runtime",8457.000000,0.015394
"001-shl-bin","runtime",8457.000000,0.015346
"001-shl-bin","runtime",8457.000000,0.015357
"001-shl-bin","runtime",8457.000000,0.015376
"001-shl-bin","runtime",8457.000000,0.015332
"001-shl-bin","runtime",8457.000000,0.015366
"001-shl-bin","runtime",12685.000000,0.031420
"001-shl-bin","runtime",12685.000000,0.031438
"001-shl-bin","runtime",12685.000000,0.031403
"001-shl-bin","runtime",12685.000000,0.031446
"001-shl-bin","runtime",12685.000000,0.031384
"001-shl-bin","runtime",12685.000000,0.031429
"001-shl-bin","runtime",12685.000000,0.031451
"001-shl-bin","runtime",12685.000000,0.031439
"001-shl-bin","runtime",12685.000000,0.031471
"001-shl-bin","runtime",12685.000000,0.031410
"001-shl-bin","runtime",16913.000000,0.063552
"001-shl-bin","runtime",16913.000000,0.063551
"001-shl-bin","runtime",16913.000000,0.063533
"001-shl-bin","runtime",16913.000000,0.063564
"001-shl-bin","runtime",16913.000000,0.063546
"001-shl-bin","runtime",16913.000000,0.063536
"001-shl-bin","runtime",16913.000000,0.063577
"001-shl-bin","runtime",16913.000000,0.063536
"001-shl-bin","runtime",16913.000000,0.063529
"001-shl-bin","runtime",16913.000000,0.063576
"001-shl-bin","runtime",21141.000000,0.113664
"001-shl-bin","runtime",21141.000000,0.113651
"001-shl-bin","runtime",21141.000000,0.113628
"001-shl-bin","runtime",21141.000000,0.113647
"001-shl-bin","runtime",21141.000000,0.113634
"001-shl-bin","runtime",21141.000000,0.113661
"001-shl-bin","runtime",21141.000000,0.113645
"001-shl-bin","runtime",21141.000000,0.113653
"001-shl-bin","runtime",21141.000000,0.113620
"001-shl-bin","runtime",21141.000000,0.113636
"001-shl-bin","runtime",25370.000000,0.163743
"001-shl-bin","runtime",25370.000000,0.163747
"001-shl-bin","runtime",25370.000000,0.163739
"001-shl-bin","runtime",25370.000000,0.163715
"001-shl-bin","runtime",25370.000000,0.163739
"001-shl-bin","runtime",25370.000000,0.163724
"001-shl-bin","runtime",25370.000000,0.163658
"001-shl-bin","runtime",25370.000000,0.163730
"001-shl-bin","runtime",25370.000000,0.163741
"001-shl-bin","runtime",25370.000000,0.163732
"001-shl-bin","runtime",29598.000000,0.213842
"001-shl-bin","runtime",29598.000000,0.213846
"001-shl-bin","runtime",29598.000000,0.213861
"001-shl-bin","runtime",29598.000000,0.213842
"001-shl-bin","runtime",29598.000000,0.213828
"001-shl-bin","runtime",29598.000000,0.213803
"001-shl-bin","runtime",29598.000000,0.213817
"001-shl-bin","runtime",29598.000000,0.213810
"001-shl-bin","runtime",29598.000000,0.213849
"001-shl-bin","runtime",29598.000000,0.213848
"001-shl-bin","runtime",33826.000000,0.213800
"001-shl-bin","runtime",33826.000000,0.213798
"001-shl-bin","runtime",33826.000000,0.213810
"001-shl-bin","runtime",33826.000000,0.213850
"001-shl-bin","runtime",33826.000000,0.213821
"001-shl-bin","runtime",33826.000000,0.213784
"001-shl-bin","runtime",33826.000000,0.213764
"001-shl-bin","runtime",33826.000000,0.213805
"001-shl-bin","runtime",33826.000000,0.213722
"001-shl-bin","runtime",33826.000000,0.213733
"001-shl-bin","runtime",38054.000000,0.263874
"001-shl-bin","runtime",38054.000000,0.263924
"001-shl-bin","runtime",38054.000000,0.264064
"001-shl-bin","runtime",38054.000000,0.263882
"001-shl-bin","runtime",38054.000000,0.263937
"001-shl-bin","runtime",38054.000000,0.263959
"001-shl-bin","runtime",38054.000000,0.263893
"001-shl-bin","runtime",38054.000000,0.263872
"001-shl-bin","runtime",38054.000000,0.264027
"001-shl-bin","runtime",38054.000000,0.263890
"001-shl-bin","runtime",42282.000000,0.364078
"001-shl-bin","runtime",42282.000000,0.364195
"001-shl-bin","runtime",42282.000000,0.364171
"001-shl-bin","runtime",42282.000000,0.364143
"001-shl-bin","runtime",42282.000000,0.364095
"001-shl-bin","runtime",42282.000000,0.364112
"001-shl-bin","runtime",42282.000000,0.364157
"001-shl-bin","runtime",42282.000000,0.364135
"001-shl-bin","runtime",42282.000000,0.364185
"001-shl-bin","runtime",42282.000000,0.364124
"001-shl-bin","runtime",46510.000000,0.414208
"001-shl-bin","runtime",46510.000000,0.464393
"001-shl-bin","runtime",46510.000000,0.464359
"001-shl-bin","runtime",46510.000000,0.464301
"001-shl-bin","runtime",46510.000000,0.464347
"001-shl-bin","runtime",46510.000000,0.464367
"001-shl-bin","runtime",46510.000000,0.464330
"001-shl-bin","runtime",46510.000000,0.464354
"001-shl-bin","runtime",46510.000000,0.464342
"001-shl-bin","runtime",46510.000000,0.414246
"001-shl-bin","runtime",50738.000000,0.564545
"001-shl-bin","runtime",50738.000000,0.564440
"001-shl-bin","runtime",50738.000000,0.514425
"001-shl-bin","runtime",50738.000000,0.564486
"001-shl-bin","runtime",50738.000000,0.564520
"001-shl-bin","runtime",50738.000000,0.514468
"001-shl-bin","runtime",50738.000000,0.564611
"001-shl-bin","runtime",50738.000000,0.564507
"001-shl-bin","runtime",50738.000000,0.514475
"001-shl-bin","runtime",50738.000000,0.564576
"001-shl-bin","runtime",54966.000000,0.714927
"001-shl-bin","runtime",54966.000000,0.664768
"001-shl-bin","runtime",54966.000000,0.664608
"001-shl-bin","runtime",54966.000000,0.664715
"001-shl-bin","runtime",54966.000000,0.664740
"001-shl-bin","runtime",54966.000000,0.664689
"001-shl-bin","runtime",54966.000000,0.664707
"001-shl-bin","runtime",54966.000000,0.664711
"001-shl-bin","runtime",54966.000000,0.664793
"001-shl-bin","runtime",54966.000000,0.664775
"001-shl-bin","runtime",59194.000000,0.814994
"001-shl-bin","runtime",59194.000000,0.815037
"001-shl-bin","runtime",59194.000000,0.815025
"001-shl-bin","runtime",59194.000000,0.814982
"001-shl-bin","runtime",59194.000000,0.815100
"001-shl-bin","runtime",59194.000000,0.815008
"001-shl-bin","runtime",59194.000000,0.865128
"001-shl-bin","runtime",59194.000000,0.815011
"001-shl-bin","runtime",59194.000000,0.865111
"001-shl-bin","runtime",59194.000000,0.865058
"001-shl-bin","runtime",63422.000000,1.015318
"001-shl-bin","runtime",63422.000000,1.015392
"001-shl-bin","runtime",63422.000000,1.015351
"001-shl-bin","runtime",63422.000000,1.015373
"001-shl-bin","runtime",63422.000000,1.015344
"001-shl-bin","runtime",63422.000000,1.015486
"001-shl-bin","runtime",63422.000000,0.965354
"001-shl-bin","runtime",63422.000000,0.965359
"001-shl-bin","runtime",63422.000000,0.965282
"001-shl-bin","runtime",63422.000000,0.965398
"001-shl-bin","runtime",67651.000000,0.865110
"001-shl-bin","runtime",67651.000000,0.865195
"001-shl-bin","runtime",67651.000000,0.865105
"001-shl-bin","runtime",67651.000000,0.865245
"001-shl-bin","runtime",67651.000000,0.865175
"001-shl-bin","runtime",67651.000000,0.865226
"001-shl-bin","runtime",67651.000000,0.865243
"001-shl-bin","runtime",67651.000000,0.865179
"001-shl-bin","runtime",67651.000000,0.865155
"001-shl-bin","runtime",67651.000000,0.865140
"001-shl-bin","runtime",71879.000000,1.015439
"001-shl-bin","runtime",71879.000000,1.065435
"001-shl-bin","runtime",71879.000000,1.015467
"001-shl-bin","runtime",71879.000000,1.015350
"001-shl-bin","runtime",71879.000000,1.015459
"001-shl-bin","runtime",71879.000000,1.015269
"001-shl-bin","runtime",71879.000000,1.065471
"001-shl-bin","runtime",71879.000000,1.015326
"001-shl-bin","runtime",71879.000000,1.015384
"001-shl-bin","runtime",71879.000000,1.015341
"001-shl-bin","runtime",76107.000000,1.165798
"001-shl-bin","runtime",76107.000000,1.165744
"001-shl-bin","runtime",76107.000000,1.215901
"001-shl-bin","runtime",76107.000000,1.165768
"001-shl-bin","runtime",76107.000000,1.165796
"001-shl-bin","runtime",76107.000000,1.215886
"001-shl-bin","runtime",76107.000000,1.165660
"001-shl-bin","runtime",76107.000000,1.165679
"001-shl-bin","runtime",76107.000000,1.165737
"001-shl-bin","runtime",76107.000000,1.165765
"001-shl-bin","runtime",80335.000000,1.366201
"001-shl-bin","runtime",80335.000000,1.366093
"001-shl-bin","runtime",80335.000000,1.366123
"001-shl-bin","runtime",80335.000000,1.366230
"001-shl-bin","runtime",80335.000000,1.366163
"001-shl-bin","runtime",80335.000000,1.366199
"001-shl-bin","runtime",80335.000000,1.366088
"001-shl-bin","runtime",80335.000000,1.366200
"001-shl-bin","runtime",80335.000000,1.366099
"001-shl-bin","runtime",80335.000000,1.366145
"001-shl-bin","runtime",84563.000000,1.566551
"001-shl-bin","runtime",84563.000000,1.566564
"001-shl-bin","runtime",84563.000000,1.566577
"001-shl-bin","runtime",84563.000000,1.566525
"001-shl-bin","runtime",84563.000000,1.566630
"001-shl-bin","runtime",84563.000000,1.566498
"001-shl-bin","runtime",84563.000000,1.566606
"001-shl-bin","runtime",84563.000000,1.566633
"001-shl-bin","runtime",84563.000000,1.566539
"001-shl-bin","runtime",84563.000000,1.566473
"001-shl-bin","runtime",88791.000000,1.817006
"001-shl-bin","runtime",88791.000000,1.917097
"001-shl-bin","runtime",88791.000000,1.817094
"001-shl-bin","runtime",88791.000000,1.817049
"001-shl-bin","runtime",88791.000000,1.817162
"001-shl-bin","runtime",88791.000000,1.817015
"001-shl-bin","runtime",88791.000000,1.867066
"001-shl-bin","runtime",88791.000000,1.816968
"001-shl-bin","runtime",88791.000000,1.766930
"001-shl-bin","runtime",88791.000000,1.766967
"001-shl-bin","runtime",93019.000000,2.067514
"001-shl-bin","runtime",93019.000000,2.117569
"001-shl-bin","runtime",93019.000000,2.067513
