"program","stage","input_size","duration"
"001-shl-bin","compilation",NA,0.764601
"001-shl-bin","compilation",NA,0.764696
"001-shl-bin","compilation",NA,0.764718
"001-shl-bin","compilation",NA,0.764724
"001-shl-bin","compilation",NA,0.764660
"001-shl-bin","compilation",NA,0.764643
"001-shl-bin","compilation",NA,0.764538
"001-shl-bin","compilation",NA,0.764613
"001-shl-bin","compilation",NA,0.764653
"001-shl-bin","compilation",NA,0.764636
"001-shl-bin","runtime",1.000000,0.001111
"001-shl-bin","runtime",1.000000,0.001109
"001-shl-bin","runtime",1.000000,0.001106
"001-shl-bin","runtime",1.000000,0.001103
"001-shl-bin","runtime",1.000000,0.001074
"001-shl-bin","runtime",1.000000,0.001070
"001-shl-bin","runtime",1.000000,0.001106
"001-shl-bin","runtime",1.000000,0.001102
"001-shl-bin","runtime",1.000000,0.001102
"001-shl-bin","runtime",1.000000,0.001110
"001-shl-bin","runtime",2.000000,0.001131
"001-shl-bin","runtime",2.000000,0.001086
"001-shl-bin","runtime",2.000000,0.001112
"001-shl-bin","runtime",2.000000,0.001106
"001-shl-bin","runtime",2.000000,0.001107
"001-shl-bin","runtime",2.000000,0.001105
"001-shl-bin","runtime",2.000000,0.001090
"001-shl-bin","runtime",2.000000,0.001120
"001-shl-bin","runtime",2.000000,0.001114
"001-shl-bin","runtime",2.000000,0.001091
"001-shl-bin","runtime",4.000000,0.001090
"001-shl-bin","runtime",4.000000,0.001093
"001-shl-bin","runtime",4.000000,0.001077
"001-shl-bin","runtime",4.000000,0.001105
"001-shl-bin","runtime",4.000000,0.001104
"001-shl-bin","runtime",4.000000,0.001102
"001-shl-bin","runtime",4.000000,0.001105
"001-shl-bin","runtime",4.000000,0.001089
"001-shl-bin","runtime",4.000000,0.001104
"001-shl-bin","runtime",4.000000,0.001102
"001-shl-bin","runtime",5.000000,0.001088
"001-shl-bin","runtime",5.000000,0.001108
"001-shl-bin","runtime",5.000000,0.001108
"001-shl-bin","runtime",5.000000,0.001113
"001-shl-bin","runtime",5.000000,0.001088
"001-shl-bin","runtime",5.000000,0.001107
"001-shl-bin","runtime",5.000000,0.001123
"001-shl-bin","runtime",5.000000,0.001089
"001-shl-bin","runtime",5.000000,0.001067
"001-shl-bin","runtime",5.000000,0.001101
"001-shl-bin","runtime",6.000000,0.001089
"001-shl-bin","runtime",6.000000,0.001085
"001-shl-bin","runtime",6.000000,0.001092
"001-shl-bin","runtime",6.000000,0.001109
"001-shl-bin","runtime",6.000000,0.001108
"001-shl-bin","runtime",6.000000,0.001108
"001-shl-bin","runtime",6.000000,0.001108
"001-shl-bin","runtime",6.000000,0.001117
"001-shl-bin","runtime",6.000000,0.001097
"001-shl-bin","runtime",6.000000,0.001105
"001-shl-bin","runtime",8.000000,0.001121
"001-shl-bin","runtime",8.000000,0.001111
"001-shl-bin","runtime",8.000000,0.001106
"001-shl-bin","runtime",8.000000,0.001101
"001-shl-bin","runtime",8.000000,0.001103
"001-shl-bin","runtime",8.000000,0.001101
"001-shl-bin","runtime",8.000000,0.001095
"001-shl-bin","runtime",8.000000,0.001086
"001-shl-bin","runtime",8.000000,0.001104
"001-shl-bin","runtime",8.000000,0.001036
"001-shl-bin","runtime",9.000000,0.001074
"001-shl-bin","runtime",9.000000,0.001072
"001-shl-bin","runtime",9.000000,0.001091
"001-shl-bin","runtime",9.000000,0.001109
"001-shl-bin","runtime",9.000000,0.001111
"001-shl-bin","runtime",9.000000,0.001118
"001-shl-bin","runtime",9.000000,0.001110
"001-shl-bin","runtime",9.000000,0.001106
"001-shl-bin","runtime",9.000000,0.001111
"001-shl-bin","runtime",9.000000,0.001111
"001-shl-bin","runtime",10.000000,0.001106
"001-shl-bin","runtime",10.000000,0.001090
"001-shl-bin","runtime",10.000000,0.001107
"001-shl-bin","runtime",10.000000,0.001104
"001-shl-bin","runtime",10.000000,0.001133
"001-shl-bin","runtime",10.000000,0.001105
"001-shl-bin","runtime",10.000000,0.001072
"001-shl-bin","runtime",10.000000,0.001078
"001-shl-bin","runtime",10.000000,0.001105
"001-shl-bin","runtime",10.000000,0.001083
"001-shl-bin","runtime",12.000000,0.001089
"001-shl-bin","runtime",12.000000,0.001108
"001-shl-bin","runtime",12.000000,0.001102
"001-shl-bin","runtime",12.000000,0.001110
"001-shl-bin","runtime",12.000000,0.001089
"001-shl-bin","runtime",12.000000,0.001133
"001-shl-bin","runtime",12.000000,0.001085
"001-shl-bin","runtime",12.000000,0.001101
"001-shl-bin","runtime",12.000000,0.001110
"001-shl-bin","runtime",12.000000,0.001092
"001-shl-bin","runtime",13.000000,0.003180
"001-shl-bin","runtime",13.000000,0.003183
"001-shl-bin","runtime",13.000000,0.003207
"001-shl-bin","runtime",13.000000,0.003156
